Run Name,230418 ABm1-40 06.16 batch 1 tube
Run Date,12:40:40 PM   04-18-23
Method Name,Superdex75_10/300 SEC
Export Format Version, 1.00
Method ID, 2657
Points/Second, 5.00
Number of Records,  12960
Offset from Run Start Time,00:00:00
Run End Time,00:43:12
Time,Second
UV,AU,
Conductivity,mS/cm
Gradient Pump,<Not Selected>
Trace 3,<Not Available>
Trace 4,<Not Available>
Trace 5,<Not Available>
Trace 6,<Not Available>
GP Pressure,PSI
Volume,ml
Fraction,<Not Available>
Time,UV,Conductivity,GP Pressure,Volume
     0.0,-0.005622,   3.623,   13,     0.0
     0.2,-0.005630,   3.637,   13,     0.0
     0.4,-0.005650,   3.637,   13,     0.0
     0.6,-0.005743,   3.637,   13,     0.0
     0.8,-0.005883,   3.637,   13,     0.0
     1.0,-0.006024,   3.637,   13,     0.0
     1.2,-0.006085,   3.637,   13,     0.0
     1.4,-0.006157,   3.637,   13,     0.0
     1.6,-0.006169,   3.637,   13,     0.0
     1.8,-0.006171,   3.623,   13,     0.0
     2.0,-0.006177,   3.623,   13,     0.0
     2.2,-0.006166,   3.623,   13,     0.0
     2.4,-0.006104,   3.623,   13,     0.0
     2.6,-0.006027,   3.623,   13,     0.0
     2.8,-0.005974,   3.623,   13,     0.0
     3.0,-0.005905,   3.623,   13,     0.0
     3.2,-0.005866,   3.623,   13,     0.0
     3.4,-0.005771,   3.623,   13,     0.0
     3.6,-0.005692,   3.623,   13,     0.0
     3.8,-0.005632,   3.623,   13,     0.0
     4.0,-0.005638,   3.637,   13,     0.0
     4.2,-0.005654,   3.637,   13,     0.0
     4.4,-0.005700,   3.623,   13,     0.0
     4.6,-0.005743,   3.637,   14,     0.0
     4.8,-0.005803,   3.637,   14,     0.0
     5.0,-0.005879,   3.623,   14,     0.1
     5.2,-0.005930,   3.623,   14,     0.1
     5.4,-0.005962,   3.637,   14,     0.1
     5.6,-0.005953,   3.637,   13,     0.1
     5.8,-0.006067,   3.637,   13,     0.1
     6.0,-0.006112,   3.623,   13,     0.1
     6.2,-0.006118,   3.637,   13,     0.1
     6.4,-0.006138,   3.637,   13,     0.1
     6.6,-0.006140,   3.637,   14,     0.1
     6.8,-0.006139,   3.637,   14,     0.1
     7.0,-0.006126,   3.637,   14,     0.1
     7.2,-0.006113,   3.637,   14,     0.1
     7.4,-0.006110,   3.637,   14,     0.1
     7.6,-0.006110,   3.637,   13,     0.1
     7.8,-0.006106,   3.637,   13,     0.1
     8.0,-0.006093,   3.637,   13,     0.1
     8.2,-0.006033,   3.637,   13,     0.1
     8.4,-0.006001,   3.637,   13,     0.1
     8.6,-0.005988,   3.637,   13,     0.1
